Function;Mode;Size;Time
mandel_normal;PARALELO;256;3.16527E-02
mandel_collapse;PARALELO;256;3.20332E-02
mandel_tasks;PARALELO;256;1.07335E-01
mandel_schedule_guided;PARALELO;256;2.54502E-02
mandel_normal;PARALELO;512;1.09847E-01
mandel_collapse;PARALELO;512;6.35560E-02
mandel_tasks;PARALELO;512;3.25786E-01
mandel_schedule_guided;PARALELO;512;7.90980E-02
mandel_normal;PARALELO;1024;2.72885E-01
mandel_collapse;PARALELO;1024;2.36287E-01
mandel_tasks;PARALELO;1024;1.15555E+00
mandel_schedule_guided;PARALELO;1024;2.46601E-01
mandel_normal;PARALELO;2048;1.01387E+00
mandel_collapse;PARALELO;2048;9.67110E-01
mandel_tasks;PARALELO;2048;4.44154E+00
mandel_schedule_guided;PARALELO;2048;7.77465E-01
mandel_normal;PARALELO;4096;3.91612E+00
mandel_collapse;PARALELO;4096;3.91012E+00
mandel_tasks;PARALELO;4096;1.77423E+01
mandel_schedule_guided;PARALELO;4096;3.03531E+00
mandel_normal;PARALELO;8192;1.55621E+01
mandel_collapse;PARALELO;8192;1.55810E+01
mandel_tasks;PARALELO;8192;7.10567E+01
mandel_schedule_guided;PARALELO;8192;1.21314E+01
