Function;Mode;Size;Time;Error;Average Function;Average;Average Time
mandel_normal;PARALELO;256;3.41187E-02;-;promedio_normal;221.73057556152344;7.17640E-05
mandel_normal;PARALELO;256;3.38235E-02;-;promedio_int;221.73057556152344;1.07765E-04
mandel_normal;PARALELO;256;2.36099E-02;-;promedio_schedule;221.73057556152344;6.46114E-05
mandel_normal;PARALELO;256;2.25382E-02;-;promedio_atomic;221.73057556152344;5.03063E-05
mandel_normal;PARALELO;256;2.32570E-02;-;promedio_critical;221.73057556152344;4.81606E-05
mandel_normal;PARALELO;256;2.01616E-02;-;promedio_vect;221.73057556152344;5.00679E-05
mandel_normal;PARALELO;512;5.85425E-02;-;promedio_normal;221.90122604370117;1.14441E-04
mandel_normal;PARALELO;512;5.85623E-02;-;promedio_int;221.90122604370117;2.10285E-04
mandel_normal;PARALELO;512;5.86011E-02;-;promedio_schedule;221.90122604370117;2.07424E-04
mandel_normal;PARALELO;512;5.85933E-02;-;promedio_atomic;221.90122604370117;1.16110E-04
mandel_normal;PARALELO;512;5.87504E-02;-;promedio_critical;221.90122604370117;1.16825E-04
mandel_normal;PARALELO;512;5.87726E-02;-;promedio_vect;221.90122604370117;1.17302E-04
mandel_normal;PARALELO;1024;2.34769E-01;-;promedio_normal;221.96004581451416;4.38929E-04
mandel_normal;PARALELO;1024;2.35863E-01;-;promedio_int;221.96004581451416;7.85589E-04
mandel_normal;PARALELO;1024;2.35969E-01;-;promedio_schedule;221.96004581451416;8.39472E-04
mandel_normal;PARALELO;1024;2.35938E-01;-;promedio_atomic;221.96004581451416;4.47750E-04
mandel_normal;PARALELO;1024;2.35872E-01;-;promedio_critical;221.96004581451416;4.40598E-04
mandel_normal;PARALELO;1024;2.35750E-01;-;promedio_vect;221.96004581451416;4.52757E-04
mandel_normal;PARALELO;2048;9.47991E-01;-;promedio_normal;221.97750806808472;1.63221E-03
mandel_normal;PARALELO;2048;9.47314E-01;-;promedio_int;221.97750806808472;2.86031E-03
mandel_normal;PARALELO;2048;9.47421E-01;-;promedio_schedule;221.97750806808472;3.66354E-03
mandel_normal;PARALELO;2048;9.47894E-01;-;promedio_atomic;221.97750806808472;1.83773E-03
mandel_normal;PARALELO;2048;9.49486E-01;-;promedio_critical;221.97750806808472;1.61862E-03
mandel_normal;PARALELO;2048;9.49207E-01;-;promedio_vect;221.97750806808472;1.67608E-03
mandel_normal;PARALELO;4096;3.82498E+00;-;promedio_normal;221.95286804437637;1.18408E-02
mandel_normal;PARALELO;4096;3.82880E+00;-;promedio_int;-34.04713195562363;2.07915E-02
mandel_normal;PARALELO;4096;3.82756E+00;-;promedio_schedule;221.95286804437637;1.38297E-02
mandel_normal;PARALELO;4096;3.83140E+00;-;promedio_atomic;221.95286804437637;1.09963E-02
mandel_normal;PARALELO;4096;3.82994E+00;-;promedio_critical;221.95286804437637;1.09665E-02
mandel_normal;PARALELO;4096;3.83089E+00;-;promedio_vect;221.95286804437637;1.09620E-02
mandel_normal;PARALELO;8192;1.56592E+01;-;promedio_normal;221.93699164688587;4.99866E-02
mandel_normal;PARALELO;8192;1.56231E+01;-;promedio_int;29.936986804008484;8.15756E-02
mandel_normal;PARALELO;8192;1.56680E+01;-;promedio_schedule;221.93699164688587;5.24487E-02
mandel_normal;PARALELO;8192;1.56107E+01;-;promedio_atomic;221.93699164688587;4.44803E-02
mandel_normal;PARALELO;8192;1.56776E+01;-;promedio_critical;221.93699164688587;4.43811E-02
mandel_normal;PARALELO;8192;1.56101E+01;-;promedio_vect;221.93699164688587;4.43058E-02
